Date    New Leads     Pre-Quote Follow Up    Post-Quote Follow Up    Answered    Didn't Answer    Total Calls    Not Ready Yet    Requires Quoting    Quote Sent    Site Visit Booked    Passed Onto Jed    Verbal Confirmation    Rescheduled Site Visit    Lost - Price    Lost - Time Ralted    Abandoned - Not Responding    Abandoned - Headache    Disqualified - Out of Service Area    Disqualified - Price    Disqualified - Extent of Works    Disqualified - Wrong Contact/Number    Disqualified - Spam
Monday, 29 September 2025    3    3    0    4    2    6    2    2    1    0    0    0    0    0    0    0    0    0    0    0    0    0
Tuesday, 30 September 2025    14    6    1    13    8    21    3    7    7    2    0    0    0    0    0    0    0    0    0    1    1    1
Wednesday, 1 October 2025    3    9    1    6    7    13    1    6    8    0    0    0    0    0    0    1    0    0    0    0    0    0
Thursday, 2 October 2025    10    3    0    9    4    13    1    5    9    0    0    0    0    0    0    0    0    1    0    0    1    1
Friday, 3 October 2025    0    5    0    2    3    5    0    2    1    0    0    0    0    0    0    2    0    0    0    0    0    0
Monday, 6 October 2025    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
Tuesday, 7 October 2025    10    7    0    7    10    17    0    4    2    0    0    0    0    0    0    1    0    0    0    1    0    1
Wednesday, 8 October 2025    5    8    3    9    7    16    1    6    5    1    1    0    0    0    0    1    0    0    0    0    1    0
Thursday, 9 October 2025    2    0    1    3    0    3    1    0    7    0    0    0    0    0    0    0    0    0    0    0    0    0
Friday, 10 October 2025    8    6    2    10    6    16    0    6    1    1    1    0    0    0    0    1    0    0    0    3    0    0
Monday, 13 October 2025    11    3    1    12    3    15    0    8    10    1    0    0    0    0    0    0    0    0    0    0    0    0
Tuesday, 14 October 2025    1    0    0    1    0    1    0    1    3    0    0    0    0    0    0    0    0    0    0    0    0    0
Wednesday, 15 October 2025    17    6    1    16    8    24    2    9    3    0    1    0    0    0    0    0    0    0    0    3    0    1
Thursday, 16 October 2025    0    0    0    0    0    0    0    0    9    0    0    0    0    0    0    0    0    0    0    0    0    0
Friday, 17 October 2025    3    8    1    7    5    12    1    5    2    0    0    0    0    0    0    0    0    0    0    0    0    0
Monday, 20 October 2025    0    0    0    0    0    0    0    0    3    0    0    0    0    0    0    0    0    0    0    0    0    0
Tuesday, 21 October 2025    14    10    0    11    13    24    4    4    1    0    0    0    0    0    0    1    1    1    0    0    0    0
Wednesday, 22 October 2025    5    6    1    7    5    12    2    4    12    0    0    0    0    0    0    2    0    0    0    1    0    0
Thursday, 23 October 2025    3    8    0    4    7    11    1    3    5    0    0    0    0    0    0    1    0    0    0    0    0    1
Friday, 24 October 2025    0    0    1    1    0    1    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0
Monday, 27 October 2025    5    1    0    4    2    6    0    3    6    0    0    0    0    0    0    0    0    0    0    0    0    0
Tuesday, 28 October 2025    13    17    0    15    15    30    3    11    11    0    2    0    0    0    0    0    0    0    0    0    1    0
Wednesday, 29 October 2025    8    11    1    10    10    20    3    5    4    0    0    0    0    0    0    0    0    0    0    0    0    0
Thursday, 30 October 2025    4    7    3    5    9    14    1    0    4    2    0    0    0    0    0    1    0    1    0    0    0    0
Friday, 31 October 2025    1    1    0    2    0    2    0    1    1    0    0    0    0    0    0    0    0    0    0    0    0    0
Monday, 3 November 2025    8    6    2    10    6    16    2    4    9    1    0    0    0    0    0    0    0    1    0    0    0    0
Tuesday, 4 November 2025    13    4    0    6    11    17    1    1    1    0    0    0    0    0    0    1    2    1    0    0    1    0
Wednesday, 5 November 2025    1    8    5    9    5    14    2    4    5    0    0    0    0    0    0    0    0    1    0    1    0    0
Thursday, 6 November 2025    4    11    3    10    8    18    2    3    4    0    0    0    0    1    0    0    2    1    0    0    0    1
Friday, 7 November 2025    10    1    0    4    7    11    0    1    3    0    1    0    0    0    0    0    0    0    0    1    2    1
Monday, 10 November 2025    6    7    0    6    7    13    2    2    3    1    0    0    0    0    0    2    0    0    0    0    1    0
Tuesday, 11 November 2025    0    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0
Wednesday, 12 November 2025    14    12    0    10    16    26    1    4    4    0    1    0    0    0    0    1    0    0    0    2    1    0
Thursday, 13 November 2025    6    1    1    6    2    8    0    6    1    0    0    0    0    0    0    0    0    0    0    0    0    0
Friday, 14 November 2025    0    0    0    0    0    0    0    0    5    0    0    0    0    0    0    0    0    0    0    0    0    0
Monday, 17 November 2025    7    3    2    7    5    12    0    5    5    3    0    0    0    0    0    0    0    0    0    0    0    0
Tuesday, 18 November 2025    1    15    5    10    11    21    1    4    1    2    0    0    0    0    0    0    0    0    0    1    0    2
Wednesday, 19 November 2025    8    1    1    8    2    10    0    6    8    3    0    0    0    0    0    0    0    0    0    0    0    1
Thursday, 20 November 2025    3    0    3    4    2    6    0    4    7    0    0    0    0    0    0    0    0    0    0    0    0    0
Friday, 21 November 2025    3    0    2    3    2    5    1    1    2    0    0    0    0    0    0    0    0    0    0    1    0    1
Monday, 24 November 2025    7    14    0    10    11    21    2    6    8    1    1    0    0    0    0    6    1    0    0    0    0    0
Tuesday, 25 November 2025    2    7    0    4    5    9    0    3    6    1    1    0    0    0    0    3    0    0    0    0    0    0
Wednesday, 26 November 2025    5    2    0    6    1    7    0    5    9    0    0    0    0    0    0    0    0    0    1    0    0    0
Thursday, 27 November 2025    8    0    0    4    4    8    1    1    2    1    0    0    0    0    0    0    0    0    0    0    0    0
Friday, 28 November 2025    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
Date    New Leads     Pre-Quote Follow Up    Post-Quote Follow Up    Answered    Didn't Answer    Total Calls    Not Ready Yet    Requires Quoting    Quote Sent    Site Visit Booked    Passed Onto Jed    Verbal Confirmation    Rescheduled Site Visit    Lost - Price    Lost - Time Ralted    Abandoned - Not Responding    Abandoned - Headache    Disqualified - Out of Service Area    Disqualified - Price    Disqualified - Extent of Works    Disqualified - Wrong Contact/Number    Disqualified - Spam
Monday, 1 December 2025    15    0    6    10    11    21    4    4    3    0    0    0    0    0    0    0    0    0    2    1    0    1
Tuesday, 2 December 2025    0    0    1    1    0    1    1    0    5    0    0    0    0    0    0    0    0    0    0    0    0    0
Wednesday, 3 December 2025    4    2    0    5    1    6    2    1    1    0    0    0    0    0    0    0    0    0    1    0    0    0
Thursday, 4 December 2025    10    2    1    8    5    13    0    4    9    0    0    1    0    0    0    0    0    0    1    1    1    1
Friday, 5 December 2025    0    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0
Date    New Leads     Pre-Quote Follow Up    Post-Quote Follow Up    Answered    Didn't Answer    Total Calls    Not Ready Yet    Requires Quoting    Quote Sent    Site Visit Booked    Passed Onto Jed    Verbal Confirmation    Rescheduled Site Visit    Lost - Price    Lost - Time Ralted    Abandoned - Not Responding    Abandoned - Headache    Disqualified - Out of Service Area    Disqualified - Price    Disqualified - Extent of Works    Disqualified - Wrong Contact/Number    Disqualified - Spam
Monday, 8 December 2025    11    1    0    8    4    12    0    7    10    1    0    0    0    0    0    0    0    0    0    0    1    0
Tuesday, 9 December 2025    6    3    0    8    1    9    0    8    7    0    0    0    0    0    0    0    0    0    0    0    0    0
Wednesday, 10 December 2025    2    0    0    1    1    2    0    1    1    0    0    0    0    0    0    0    0    0    0    0    0    0
Thursday, 11 December 2025    17    1    2    7    13    20    0    3    0    0    0    0    2    0    0    0    0    0    0    1    1    1
Friday, 12 December 2025    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
